GENDER,ETHNICITY,PARENTAL LEVEL OF EDUCATION,LUNCH,TEST PREPARATION COURSE,MATH SCORE,READING SCORE,WRITING SCORE
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,72,72,74
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,69,90,88
FEMALE,GROUP B,MASTER'S DEGREE,STANDARD,NONE,90,95,93
MALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,47,57,44
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,76,78,75
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,71,83,78
FEMALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,88,95,92
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,40,43,39
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,64,64,67
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,38,60,50
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,58,54,52
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,40,52,43
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,65,81,73
MALE,GROUP A,SOME COLLEGE,STANDARD,COMPLETED,78,72,70
FEMALE,GROUP A,MASTER'S DEGREE,STANDARD,NONE,50,53,58
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,69,75,78
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,88,89,86
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,NONE,18,32,28
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,46,42,46
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,54,58,61
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,66,69,63
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,65,75,70
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,44,54,53
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,69,73,73
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,74,71,80
MALE,GROUP A,MASTER'S DEGREE,FREE/REDUCED,NONE,73,74,72
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,69,54,55
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,67,69,75
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,70,70,65
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,62,70,75
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,69,74,74
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,63,65,61
FEMALE,GROUP E,MASTER'S DEGREE,FREE/REDUCED,NONE,56,72,65
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,40,42,38
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,97,87,82
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,81,81,79
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,74,81,83
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,50,64,59
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,75,90,88
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,57,56,57
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,55,61,54
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,58,73,68
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,53,58,65
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,59,65,66
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,50,56,54
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,65,54,57
FEMALE,GROUP A,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,55,65,62
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,66,71,76
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,57,74,76
MALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,82,84,82
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,53,55,48
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,77,69,68
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,53,44,42
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,88,78,75
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,71,84,87
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,33,41,43
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,82,85,86
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,52,55,49
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,58,59,58
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,0,17,10
MALE,GROUP E,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,79,74,72
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,39,39,34
MALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,62,61,55
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,69,80,71
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,59,58,59
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,67,64,61
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,45,37,37
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,60,72,74
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,61,58,56
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,39,64,57
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,58,63,73
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,63,55,63
FEMALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,41,51,48
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,61,57,56
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,49,49,41
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,44,41,38
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,30,26,22
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,COMPLETED,80,78,81
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,61,74,72
FEMALE,GROUP E,MASTER'S DEGREE,STANDARD,NONE,62,68,68
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,47,49,50
MALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,49,45,45
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,COMPLETED,50,47,54
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,72,64,63
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,42,39,34
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,73,80,82
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,76,83,88
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,71,71,74
FEMALE,GROUP A,SOME COLLEGE,STANDARD,NONE,58,70,67
